Food,Associativity,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg CO2e),Ingredients,stress_relief,mood_boost,anxiety_reduction,sleep_improvement,cognitive_function
Plain Dosa,14,South,"Breakfast,Lunch,Dinner",Veg,no-allergies,1 medium,310,987,26.0,200.0,7.0,13.0,1.0675,Rice-250 gms; Gram dal-30 gms; Common salt-15 gms; Mustard oil-15 gms; ,0.2601710689316232,0.08517888184167255,0.24063896316102196,0.08864423302795396,0.19557111884958026
Uttapam,14,South,Breakfast,Veg,no-allergies,3 number,283,80,2.0,15.0,1.0,1.0,0.56225,Rice-62 gms; Fenugreek seeds-4 gms; Cooking oil-7 gms; Onion-15 gms; Tomato-120 gms; Capsicum-15 gms; carrot-15 gms; Coriander leaves-15 gms; Red chilli Powder-15 gms; Urad Dal Flour-15 gms,0.2960926148115963,0.006477683814893118,0.20244734105763518,0.006719403335682406,0.291976599201327
Ragi Wrap,0,South,"Lunch,Dinner",Veg,no-allergies,1 medium,130,241,4.0,32.0,9.0,6.0,0.1673,Ragi Flour-45 gms;  Cumin seeds-4 gms; Coriander leaves-15 gms; Cooking oil-7 gms; Onion-15 gms; Tomato-7 gms; Capsicum-15 gms; Lettuce Leaf-15 gms; Mushroom-7 gms,0.2826785114596547,0.0188985200845666,0.20154500891265598,0.019511158092553445,0.2809528339710029
Bajra Methi Khakra,11,West,Snacks,Veg,no-allergies,2 small,861,563,16.0,102.0,7.0,14.0,0.2051,Fenugreek leaves-62 gms; Mustard oil-15 gms; Turmeric powder-4 gms; Common salt-15 gms; Bajra-750 gms; Red chilli Powder-15 gms,0.28345450855850474,0.056666431759455016,0.2314659833630422,0.057437397228094905,0.24698016982051513
Bajra Wrap,0,"North, West","Lunch,Dinner",Veg,no-allergies,1 medium,344,377,11.0,70.0,3.0,11.0,0.0915,Spinach-15 gms; Capsicum-15 gms; carrot-15 gms; Coriander leaves-15 gms; Common salt-15 gms;Black Pepper-4 gms; Bajra-250 gms; ; Green Chutney-15 gms,0.2931208385466769,0.040843669250645996,0.22668545751633987,0.041365633074935404,0.2625349777469486
Besan Dhokla,11,West,Snacks,Veg,no-allergies,4 number,591,226,11.0,28.0,7.0,5.0,0.7103,Turmeric powder-1 gms; Besan-250 gms; Yoghurt-75 gms; MUSTARD SEEDS-24 gms; Olive oil-15 gms; Coriander leaves-30 gms; Baking Soda-5 gms; Ginger-0.25 gms; Lemon-1 gms; Cumin seeds-15 gms; Semolina-150 gms,0.2938091775067525,0.02437080103359173,0.21038643790849673,0.022179586563307496,0.2932008713533744
Millets Dosa (Foxtail),14,South,Breakfast,Veg,no-allergies,1 medium,180,97,1.0,4.0,9.0,1.0,0.0874,Common salt-4 gms; Cooking oil-7 gms; Cumin seeds-4 gms; ; Millets-150 gms; Rice Flour-15 gms,0.2846012581558818,0.0032549917782475923,0.18959172608437314,0.003149753347427766,0.29913292332305286
Methi Water,10,"North,South,East,West",Beverages,Veg,no-allergies,1 glass,7,33,3.0,4.0,1.0,1.0,0.0245,FENUGREEK SEEDS-7 gms; ,0.3012223831812333,0.005436809960065774,0.2035382501485443,0.00460429880197322,0.3015088632133281
Pudina Water,10,"North,South,East,West",Beverages,Veg,no-allergies,1 glass,8,3,0.0,0.0,0.0,0.0,0.0032,Mint leaves-8 gms; ,0.2997538058874313,0.0,0.2,0.0,0.29950761177486257
Methi-Ajwain Water,10,"North,South,East,West",Beverages,Veg,no-allergies,1 glass,8,12,1.0,1.0,0.0,0.0,0.0254,FENUGREEK SEEDS-7 gms; Ajwain-1 gms; ,0.3002879508224524,0.001284707540521494,0.2010909090909091,0.0009856706600892648,0.2998486289176322
Chicken Kebab,6,Continental,Appetizer,Non-veg,no-allergies,4 number,357,102,6.0,5.0,6.0,2.0,1.309,Gram dal-30 gms; Cooking oil-15 gms; Cumin seeds-15 gms; Cloves-2 gms; Black pepper-2 number; Cinnamon-0.25 gms; Chicken -150 gms; Common salt-15 gms; Mint leaves-15 gms; Coriander leaves-15 gms; Egg-15 gms; Ajwain-15 gms; Ginger powder-15 gms; Garlic Powder-15 gms; Red chilli Powder-15 gms,0.2950786723057598,0.010292224571294339,0.20119414735591207,0.008433403805496828,0.3029914206661839
Kadha,10,"North,South,East,West",Beverages,Veg,no-allergies,1 glass,71,69,1.0,11.0,1.0,6.0,0.1915,Ginger-7 gms; Cloves-4 gms; Black pepper-4 gms; Cinnamon-7 gms; Cardamom-4 gms; Turmeric powder-15 gms; Lemon-15 gms; Saunf-15 gms,0.3017989881738432,0.011556025369978858,0.21003698752228164,0.011902983321587972,0.29196384087531563
Lemon Tea,12,"North,South,East,West",Beverages,Veg,no-allergies,2 cup,22,1,0.0,1.0,0.0,0.0,0.0478,Tea-15 gms; Lemon-7 gms,0.29991793529581046,0.0001937984496124031,0.2,0.0002583979328165375,0.29983587059162087
Smoothie (In milk),12,Continental,Beverages,Veg,dairy ,1 glass,425,183,8.0,40.0,0.0,4.0,0.7,"Milk-250 gms; Banana-100 gms;Blueberries-50 gms, Strawberries-25 gms",0.3000250884262385,0.02203476626732441,0.21567171717171718,0.021709654686398877,0.2845097728120729
Stuffed Bajara Roti,1,"North,West","Lunch,Dinner",Veg,no-allergies,1 medium,563,840,21.0,162.0,11.0,3.0,0.227,Onion-60 gms; Ginger-7 gms; Turmeric powder-4 gms; Cooking oil-15 gms; BAJRA-125 gms; POTATO-350 gms; Cumin seeds-1 gms; CORIANDER-1 gms,0.24930640160019307,0.05847110641296688,0.21194095365418897,0.06129985905567302,0.21648958573158045
HARA MASALA KEBAB (Spinach),6,"North,East,West",Appetizer,Veg,no-allergies,3 medium,243,77,1.0,6.0,5.0,1.0,0.1197,POTATO-1 75 gms; Coriander leaves-30 gms;Mint leaves-15 gms; Spinach-62 gms; Banana-25 gms; Ginger-7 gms;Garlic-7 gms; Common salt-7 gms; Cooking oil-15 gms,0.29065431694555544,0.003642588677472399,0.1954740790255496,0.0036665492130608414,0.296533158549459
Chakhle's Shami Kebab,6,"North,South,East,West",Appetizer,Non-veg,no-allergies,2 number,85,18,1.0,3.0,0.0,1.0,0.0227,Onion-60 gms; Garlic-1 gms; Ginger-0.5 gms; CORIANDER-0.5 gms; Common salt-7 gms; Lemon-7 gms,0.30101084037509285,0.003061193328635189,0.2028270202020202,0.002891355414611229,0.2988638524673574
Chana tikki (Kabuli chana),6,"North,East,West",Appetizer,Veg,no-allergies,3 small,880,261,12.0,33.0,9.0,9.0,0.5575,POTATO-250 gms; Common salt-15 gms; Cabbage-400 gms;Onion-125 gms; Ginger-15 gms; Cumin seeds-15 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Olive oil-15 gms; Coriander leaves-15 gms,0.29486486889101493,0.03198625792811839,0.21548061497326204,0.029754404510218463,0.29221570034887473
Lettuce wrap Channa tikki,6,"North,East,West",Appetizer,Veg,no-allergies,1 medium,499,466,24.0,71.0,11.0,17.0,0.2938,POTATO-250 gms; Onion-2 gms; Common salt-7 gms; Coriander leaves-15 gms; Cooking oil-15 gms; Lettuce Leaf-20 gms; CUCUMBER-20 gms; Tomato-20 gms; Channa Dal-150 gms,0.3008306716741619,0.06355261921540992,0.2395192364824718,0.05941190979563073,0.28332852991992225
Millets Khichdi,5,"North,East,West","Lunch,Dinner",Veg,no-allergies,1 medium katori,689,442,21.0,69.0,6.0,16.0,0.5777,Gram dal-30 gms; carrot-125 gms; Peas-125 gms; Capsicum-125 gms; Fenugreek leaves-15 gms; Tomato-90 gms; Cooking oil-15 gms; Ginger-7 gms; Common salt-7 gms;Millets-150 gms; ,0.3032814708611049,0.05850340615456895,0.241863339275104,0.05532440685929059,0.27446014909000543
Aloo /Shakarkandi,0,"North,East,West",Snacks,Veg,no-allergies,2 medium,6,79,1.0,19.0,0.0,1.0,0.0034,SWEET POTATO-2 gms; Lemon-4 gms;,0.29600489341952924,0.006161968522433639,0.2028270202020202,0.007025722339675829,0.2888519585562302
Sambar,13,"Continental,North,South,East,West","Lunch,Dinner,Breakfast",Veg,no-allergies,4 tbsp,26,120,1.0,14.0,7.0,6.0,0.07222,Drumstick-53 gms; Carrot-53 gms; Mustard seeds-4 gms; Chillies-4 gms; Curry leaves-4gms; Coriander-4 gms; Common salt-2 gms; Cooking oil-4 gms; Dal-12 gms; Potato-53 gms; Ladies finger-53 gms; Onion-16 gms; Tomato-14 gms; Cumin seeds-4 gms; Brinjal-16 gms,0.2909960412013517,0.012137420718816069,0.2012134581105169,0.012678177120037586,0.2924167704597445
Aloo Tikki,6,"North,East,West",Appetizer,Veg,no-allergies,1 medium,406,279,2.0,32.0,15.0,1.0,0.211,POTATO-350 gms; CORIANDER LEAVES-15 gms; Turmeric powder-4 gms; Cumin seeds-7 gms; Common salt-15 gms; Cooking oil-15 gms,0.26432056220728417,0.00977225745830397,0.18185910576351755,0.011112168193563544,0.2799030822279968
ALMOND FLOUR CHEELA,1,"North,East,West","Lunch,Dinner,Breakfast",Veg,no-allergies,1 medium,435,757,19.0,48.0,55.0,18.0,0.4245,Common salt-15 gms;Roti-100 gms; Besan-30 gms; SPINACH-15 gms;Onion-125 gms; Coriander leaves-15 gms; Cumin Powder-15 gms; Coriander Powder-15 gms; Turmeric powder-15 gms; Olive oil-15 gms; Tomato-75 gms,0.22327207240443336,0.055029598308668076,0.17109491978609626,0.05122128259337562,0.2911818453436261
"Carrot, Bell Pepper, Broccoli, Cucumber, and Beetroot Salad",0,"Continental,North,South,East,West",Appetizer,Veg,no-allergies,1 medium bowl,258,103,4.0,20.0,0.0,8.0,0.2018,carrot-50 gms; Capsicum-60 gms; CUCUMBER-40 gms; BEET ROOT-15 gms;Garlic-1 gms; Common salt-15 gms; Black pepper-15 gms; Broccoli-62 gms,0.3063604667816059,0.019350716466995536,0.21825252525252525,0.01918816067653277,0.2903673982096764
SPROUTS SALAD,0,"Continental,North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 medium bowl,620,245,16.0,40.0,1.0,9.0,0.314,BRUSSELS SPROUTS-250 gms; Tomato-62 gms; Onion-62 gms; CUCUMBER-62 gms; carrot-62 gms; Capsicum-62 gms; CORIANDER LEAVES-15 gms; Lemon-15 gms; Common salt-15 gms; Black pepper-15 gms,0.31009234266072183,0.03770648343904158,0.23160895721925134,0.03447228094902514,0.29034979227331525
Som Tam Green Papaya Salad,0,Continental,Appetizer,Veg,no-allergies,1 medium bowl,200,80,3.0,15.0,0.0,4.0,0.1845,Papaya-80 gms; carrot-30 gms; Beans-50 gms; HONEY-15 gms; Lemon-10 gms; Coriander leaves-5 number; Garlic powder-15 gms,0.30211411659412757,0.011735259572468876,0.21021717171717172,0.011613342729621801,0.2923241927842147
"Strawberry , orange Vegetable salad",0,"Continental,North,South,East,West",Appetizer,Veg,no-allergies,1 medium bowl,564,112,4.0,21.0,0.0,3.0,0.16395,ORANGE-250 gms; Lettuce Leaf-100 gms; CUCUMBER-0.5 gms; Lemon-15 gms; Common salt-7 gms; Black pepper-7 gms; strawberry-15 gms; Chat Masala-15 gms; Vegetable Broth-150 gms,0.29954549555501087,0.012600070472163494,0.2095719696969697,0.012502114164904862,0.2888902335342642
Chicken Salad with Plums,0,Continental,"Lunch,Dinner",Non-veg,no-allergies,1 medium bowl,317,263,25.0,17.0,9.0,5.0,0.7253,Chicken-100 gms; Lettuce Leaf-100 gms; Onion-60 gms; Common salt-7 gms; Black pepper-7 gms;Garlic-3 gms; Lemon-15 gms; Plum-25 gms,0.3063850829169792,0.03751174536058257,0.22271798871063578,0.029519027484143767,0.3155238051684801
Boiled Chicken Salad,0,"Continental,North,South,East,West","Lunch,Dinner",Non-veg,no-allergies,1 medium bowl,301,357,25.0,8.0,24.0,2.0,0.8111,Chicken-100 gms; Lettuce Leaf-50 gms; CUCUMBER-50 gms; Onion-30 gms; Capsicum-20 gms; Common salt-7 gms; Black pepper-7 gms; Lemon-10 gms;Parsley-10 gms;Garlic-2 gms; Olive oil-15 gms,0.2784810497427677,0.031600892647404275,0.19545083184789067,0.02302677942212826,0.3221544643102532
Veg Soup,0,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,171,236,5.0,18.0,15.0,6.0,0.1842,carrot-30 gms; Celery-20 gms; Capsicum-30 gms; Peas-15 gms; Onion-50 gms;Garlic-1 gms; Common salt-0.5 gms; Black pepper-0.5 gms; Olive oil-15 gms;,0.2777439151945063,0.017276250880902046,0.19381238859180036,0.016620859760394645,0.29241519224284507
Veg Shorba (No Dal),4,"North,East,West","Lunch,Dinner",Veg,no-allergies,1 medium bowl,187,184,4.0,13.0,11.0,8.0,0.17395,carrot-30 gms; Celery-20 gms; Beans-15 gms; Onion-50 gms; Tomato-20 gms; Ginger-10 gms; Cooking oil-10 gms; Cumin seeds-5 gms; Turmeric powder-5 gms; Common salt-7 gms; Coriander leaves-15 gms,0.28758087280107447,0.017994127319708716,0.20207605466428996,0.01737937514681701,0.2932493867192018
Jowar Cheela,1,"North,West",Breakfast,Veg,no-allergies,1 medium,590,302,4.0,31.0,16.0,6.0,0.558,Onion-250 gms; Common salt-15 gms; Roti-100 gms ; Cumin seeds-15 gms; Red chilli Powder-15 gms; Turmeric powder-15 gms; Tomato-150 gms; Capsicum-15 gms; Olive oil-15 gms,0.269951976268797,0.018704721634954194,0.19125089126559716,0.019252760159736905,0.28123505770693447
Non-vegetarian tacos,0,Continental,"Lunch,Dinner",Non-veg,no-allergies,2 small,502,79,1.0,1.0,8.0,1.0,7.59895,Mutton-300 gms; Common salt-7 gms; Cooking oil-15 gms; Onion-15 gms; Tomato-120 gms; Lettuce Leaf-15 gms; Coriander leaves-15 gms; Lemon-15 gms; Maize,0.2871813640077645,0.002673596429410383,0.19106231431966725,0.0023745595489781538,0.30061666443858315
Gravy Chicken,8,"North,East,West",Gravy,Non-veg,no-allergies,1 medium katori,407,237,9.0,8.0,17.0,3.0,1.5568,Onion-20 gms; Tomato-120 gms; Chillies-2 gms; Cooking oil-10 gms; Cardamom-1 gms; Cloves-2gms; Turmeric powder-1 gms; Fenugreek leaves-1 gms; Coriander leaves-5 gms; Common salt-15 gms; Garlic powder-15 gms; Ginger powder-15 gms; Chicken-200 gms,0.27690104389495135,0.01553523608174771,0.19002651515151517,0.012779304674653512,0.3024649665777815
Amaranth Flour Cheela,1,"North,East,West","Lunch,Dinner,Breakfast",Veg,no-allergies,1 medium,193,323,10.0,60.0,3.0,6.0,0.1395,Onion-120 gms;Garlic-5 gms; Cooking oil-4 gms; Common salt-15 gms;  Turmeric powder-4 gms; Tomato-30 gms; Capsicum-15 gms,0.29020321641129737,0.030870331219168427,0.21691399286987523,0.03110993657505285,0.26957978398124005
Shredded Chicken Wrapped (wrap),0,Continental,"Lunch,Dinner",Non-veg,no-allergies,1 medium,650,959,75.0,65.0,45.0,16.0,1.605,Chicken-180 gms; Tomato-180 gms; Onion-125 gms; Avocado-150 gms; Olive oil-15 gms,0.28656658564001836,0.11663730326521023,0.2434194890077243,0.09356354240075171,0.34514000431628156
Masoor Dal,"2,8","North,East,West","Dry Curry, Gravy",Veg,no-allergies,5 medium katori,679,217,11.0,31.0,4.0,7.0,0.4182,Gram dal-250 gms; ONION-120 gms; Tomato- 240 gms; Garlic-6 gms; Ginger-4 gms; Chillies-2 gms; Turmeric powder-7 gms; Cumin seeds-24 gms; Common salt-5 gms; Cooking oil-15 gms; Coriander seeds-1 gms; Chillies-1.5 gms,0.300287138929426,0.02772997416020672,0.2182704248366013,0.025732558139534886,0.2902662713229043
Mattar ki sabzi,2,"North,East,West",Dry Curry,Veg,no-allergies,1 medium katori,297,305,14.0,16.0,18.0,21.0,0.4689,Onion-1 gms; Tomato-240 gms; Garlic-2 gms; Ginger-4 gms; Chillies-3 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Cooking oil-15 gms; Common salt-15 gms; Coriander leaves-3 gms,0.29845633919722653,0.04754016913319238,0.22526047237076652,0.04348285177354944,0.3018656641342035
Apple and Sprouts Salad,0,"Continental,North,South,East,West",Appetizer,Veg,no-allergies,1 medium bowl,424,150,6.0,24.0,4.0,7.0,0.2225,Apple-200 gms; Lemon-15 gms; Common salt-15 gms; Black pepper-15 gms; Moong dal-150 gms; Lettuce Leaf-20 gms; Walnut-9 gms,0.2994218377464906,0.020918839558374442,0.21281587938205584,0.020287408973455486,0.2921720325933972
Caesar Salad,0,Continental,Appetizer,Veg,no-allergies,1 medium bowl,145,116,6.0,12.0,5.0,4.0,0.0905,Lettuce Leaf-100 gms; Lemon-5 gms; Garlic-5 gms; HONEY-5 gms; Common salt-15 gms; Black pepper-15 gms,0.29746326317913196,0.014426591496358939,0.20613695781342842,0.013019967112990371,0.29922302071358187
TOMATO & CUCUMBER SALAD,0,"Continental,North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 small bowl,402,232,11.0,12.0,16.0,5.0,0.40025,Tomato-240 gms; CUCUMBER-100 gms; Lettuce Leaf-2 gms; PUMPKIN SEED-15 gms; Sunflower seeds-15 gms; Lemon-15 gms; Common salt-15 gms,0.28339031869337983,0.02127002583979328,0.1971511437908497,0.018045219638242894,0.30545138902074664
POTATO SALAD,0,"Continental,North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 small bowl,492,994,45.0,141.0,25.0,84.0,1.01285,POTATO-2 gms; PUMPKIN SEED-15 gms; Sunflower seeds-15 gms; Common salt-15 gms; Curd-150 gms; Black pepper-250 gms; Red chilli Powder-15 gms; Onion-15 gms; Garlic powder-15 gms,0.350210215229866,0.19308315715292457,0.3581595365418895,0.18582804792107116,0.25543825577167495
Avocado Salad,0,Continental,"Lunch,Dinner",Veg,no-allergies,1 small bowl,485,492,15.0,15.0,42.0,15.0,0.59225,Tomato-240 gms; CUCUMBER ; Lettuce Leaf-20 gms; Avocado-150 gms ; PUMPKIN SEED-15 gms; Sunflower seeds-15 gms; Lemon-15 gms; Common salt-15 gms; Olive oil-15 gms,0.25062071188454393,0.04010394644115574,0.1806405971479501,0.03561839323467231,0.30828576423254606
Veg & FRUIT SALAD,0,"Continental,North,South,East,West",Breakfast,Veg,no-allergies,1 small bowl,599,476,15.0,51.0,23.0,14.0,0.46875,Lettuce Leaf-20 gms; Capsicum-150 gms; carrot-60 gms; CUCUMBER-70 gms; Apple-200gms; Almond-5 gms; PUMPKIN SEED-15 gms; Sunflower seeds-15 gms; Plum-55 gms; Walnut-9 gms,0.2716743517267404,0.045691801738313366,0.2068456625074272,0.043531829927178765,0.2829706582960239
QUINOA SALAD,0,"Continental,North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 small bowl,155,244,9.0,40.0,3.0,11.0,0.1133,Quinoa-62 gms; carrot-1 gms; Zucchini-62 gms; CUCUMBER-0.5 medium; Lemon-15 gms; Common salt-15 gms,0.30148998965843476,0.03284789758045572,0.2245036393345217,0.03215914963589383,0.28072782542500985
MILLETS SALAD,0,"Continental,North,South,East,West",Appetizer,Veg,no-allergies,4 cup,465,71,2.0,14.0,1.0,1.0,0.0465,carrot-10 gms; Zucchini-25 gms; CUCUMBER-100 gms; Lemon-15 gms; Common salt-15 gms; Millets-300 gms,0.29683119714930245,0.006283885365280715,0.20244734105763518,0.006461005402865869,0.2934537638767392
Soya wheat bran Roti (50% wheat bran & 50% soya flour),1,"North,East,West","Breakfast,Lunch,Dinner",Veg,no-allergies,1 medium,305,503,30.0,66.0,12.0,15.0,0.1065,Soya flour-5 tablespoon; Common salt-15 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Warm Water-200 gms; Wheat Flour-Atta)-60 gms),0.30189714452348543,0.06635130373502465,0.24112188057041,0.05970577871740662,0.28963542095427924
Risotto With Additional Dressing(Corn),0,Continental,Dinner,Veg,no-allergies,1 medium,149,83,3.0,15.0,0.0,5.0,0.148,Babycorn-15 gms; Onion-62 gms;Garlic-7 gms; MUSHROOM-15 gms; Peas-15 gms; Common salt-15 gms; Black pepper-15 gms;Parsley-5 gms,0.3030832002593366,0.013124148461357763,0.21195328282828285,0.013002231618510688,0.29183180455907726
Herbal Tea,12,East,Beverages,Veg,no-allergies,1 cup,24,0,0.0,0.0,0.0,0.0,0.072,Tea-24 gms,0.3,0.0,0.2,0.0,0.3
Non-veg SOUP,0,Continental,"Lunch,Dinner",Non-veg,no-allergies,1 medium bowl,649,470,30.0,54.0,12.0,37.0,1.20765,carrot-60 gms; Onion-120 gms;Garlic-4 gms; Ginger-5 gms; Peas-125 gms; Beans-125 gms; Black pepper-62 gms; Cooking oil-15 gms; Common salt-15 gms; Coriander leaves-4 gms; Chicken-100 gms; Cumin seeds-7 gms; Coriander seeds-7 gms,0.3313413908728522,0.09458127789523138,0.2793163250148544,0.08716055907916373,0.2950516914307907
Oats Poha,9,"North,East,West",Breakfast,Veg,no-allergies,2 small bowl,395,255,9.0,38.0,7.0,8.0,0.471,Chillies-15 gms; ; Cumin seeds-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms; Oats-150 gms;Onion-125 gms; Red chilli Powder-15 gms; Lemon-15 gms; Olive oil-15 gms,0.2925296798731339,0.02829363401456425,0.21341295306001187,0.02747568710359408,0.28480475487401585
Non-veg Platter (Chicken),6,"North,East,West","Lunch,Dinner",Non-veg,no-allergies,3 number,701,73,7.0,5.0,3.0,4.0,0.7068,Common salt-15 gms; Black pepper-15 gms; Spinach-250 gms; Lettuce Leaf-250 gms; CUCUMBER-70 gms; VINEGAR-15 gms; Chicken-75 gms; Chillies-7 gms; Garlic-4 gms,0.30447065508495186,0.01416091143998121,0.21016904337492573,0.011938454310547335,0.3051575906214783
Multigrain Paratha,1,"North,East,West",Breakfast,Veg,no-allergies,1 medium,375,448,16.0,74.0,10.0,7.0,0.30575,Wheat-62 gms; Common salt-15 gms; Cooking oil-15 gms; Cumin Powder-4 gms; Oats Flour-200 gms; TURMERIC-4 gms; Besan-75 gms,0.28107618156644876,0.04151785294808551,0.21490144087938207,0.04048003288700964,0.270266816489998
Methi Thepla,1,"North,West","Breakfast,Lunch,Dinner",Veg,no-allergies,1 medium,449,76,33.0,174.0,10.0,14.0,0.2802,Wheat-250 gms; Fenugreek leaves-125 gms; Turmeric powder-7 gms; Common salt-7 gms; Cooking oil-15 gms; Red chilli Powder-15 gms; Coriander Powder-15 gms; Cumin Powder-15 gms,0.34174755960577585,0.08916537467700258,0.2455996732026144,0.08840568475452196,0.3622320473161269
Baba Ganoush with Hummus,0,Continental,Appetizer,Veg,no-allergies,1 medium,305,243,7.0,11.0,17.0,13.0,0.2568,Brinjal-200 gms; Garlic-2 gms; Lemon-30 gms; Cooking oil-15 gms; Common salt-15 gms; Black pepper-15 gms;Parsley-4 gms; Cumin seeds -24 gms,0.28601597890213715,0.02782370213765563,0.2052058080808081,0.02598884190744656,0.29784382649114305
Aloo Curry,2,"North,East,West,South",Dry Curry,Veg,no-allergies,1 small bowl,482,490,8.0,75.0,16.0,9.0,0.4747,POTATO-200 gms; Onion-75 gms; Tomato-120 gms; Coriander leaves-15 gms; Turmeric powder-15 gms; Fenugreek leaves-0.5 gms; Common salt-7 gms; Cooking oil-15 gms; Chillies-15 gms; Coriander seeds-15 gms,0.2632605543054008,0.035762156448202964,0.20082286096256685,0.037698026779422134,0.25765145620438445
Kale Chips,11,Continental,Snacks,Veg,no-allergies,3 number,180,39,2.0,5.0,2.0,1.0,0.1665,Cooking oil-15 gms; Common salt-15 gms; Kale-150 gms,0.29835432650689797,0.004539699318769086,0.20097675282234106,0.004135424007517032,0.3001764931801656
Jau Wrap,0,"North,East,West","Breakfast,Lunch,Dinner",Veg,no-allergies,1 number,392,591,17.0,99.0,12.0,21.0,0.395,Onion-75 gms; Capsicum-10 gms; carrot-10 gms; Common salt-7 gms; Cooking oil-7 gms; CABBAGE-75 gms; Turmeric powder-7 gms; Cumin seeds-7 gms; Besan-30 gms; Barley Flour-150 gms; CORIANDER LEAVES-7 gms; Coriander Powder-7 gms,0.28542166267601565,0.06689816772374911,0.23735672905525848,0.06711169837914024,0.2515556693805518
JAWAR WRAP,0,"North,East,West","Breakfast,Lunch,Dinner",Veg,no-allergies,3 number,80,112,3.0,18.0,0.0,3.0,0.0636,Onion-15 gms; Capsicum-2 gms; carrot-1 gms; Common salt-15 gms; Cooking oil-7 gms; Jowar-40 gms,0.2982727682822836,0.010927766032417196,0.20848106060606061,0.010999647639182522,0.28707205171608235
GRILLED PINEAPPLE/ APPLE,6,Continental,Appetizer,Veg,no-allergies,4 number,116,7,0.0,2.0,0.0,0.0,0.1242,Pineapple-75 gms; HONEY-15 gms; Cinnamon-15 gms; Common salt-7 gms; Ginger-4 gms,0.29942554707067304,0.0003875968992248062,0.2,0.000516795865633075,0.29885109414134603
Mixed Veg Soup,0,Continental,Appetizer,Veg,no-allergies,1 medium bowl,871,130,5.0,24.0,0.0,8.0,0.5793,Onion-62 gms;Garlic-30 gms; carrot-150 gms; Celery-150 gms; Cabbage-150 gms; Beans-150 gms; Tomato-150 gms; Peas-15 gms; Common salt-7 gms; Black pepper-7 gms,0.3054174470412149,0.021216819356354243,0.21934343434343434,0.020949025135071648,0.2877540860016216
Veg Clear Soup,0,Continental,Appetizer,Veg,no-allergies,1 medium bowl,1154,179,6.0,18.0,10.0,7.0,1.23665,carrot-150 gms; Celery-150 gms; Onion-150 gms; Beans-150 gms; Peas-15 gms; MUSHROOM-150 gms; Capsicum-150 gms; Garlic-7 gms; soya sauce-15 gms; Parsley-15 gms; Common salt-15 gms; Black pepper-7 gms; Onion-150 gms; Olive oil-15 gms; Sesame Oil-15 gms,0.29042431426616966,0.019756048860700023,0.20399234997029114,0.01873702137655626,0.296235809162167
Soupy Noodles,0,Continental,Appetizer,Veg,no-allergies,1 medium bowl,394,96,5.0,18.0,0.0,4.0,0.2848,carrot-100 gms; Onion-75 gms; Zucchini-50 gms; Peas-25 gms; Cabbage-75 gms; MUSHROOM-50 gms;Garlic-4 gms; VINEGAR-15 gms,0.303346535872549,0.014498473103124267,0.21239898989898992,0.013843081982616866,0.2933344858865122
Spinach Soup,0,Continental,Appetizer,Veg,no-allergies,1 small bowl,638,98,3.0,16.0,0.0,3.0,0.2648,Spinach-62 gms; Onion-150 gms; Garlic-15 gms; POTATO-75 gms; Celery-150 gms; carrot-150 gms; Common salt-7 gms; Black pepper-7 gms; Lemon-15 gms; Cumin seeds-7 gms,0.29942167414093757,0.01054016913319239,0.20848106060606061,0.01048285177354945,0.2893698634333903
Sweet Corn Kernels,0,Continental,Snacks,Veg,no-allergies,1 medium bowl,223,96,2.0,17.0,0.0,5.0,0.1459,Onion-75 gms; Garlic-15 gms; carrot-75 gms; Peas-15 gms; Common salt-7 gms; Black pepper-7 gms; Lemon-15 gms;Parsley-7 gms; Cumin seeds-7 gms,0.300743631832145,0.012420836269673479,0.21086237373737374,0.012791754756871037,0.28787994043196674
Vegetable Oats Soup,0,Continental,Appetizer,Veg,no-allergies,1 medium bowl,276,194,6.0,35.0,2.0,6.0,0.2076,Onion-75 gms; Garlic-2 gms; carrot-30 gms; Celery-25 gms; Capsicum-50 gms; Zucchini-50 gms; OATMEAL-30 gms; Common salt-7 gms; Black pepper-7 gms,0.2968015953373131,0.021661733615221987,0.214020944741533,0.021740897345548512,0.282009162154127
Green Salad,0,"Continental,North,South,East,West",Appetizer,Veg,no-allergies,1 small bowl,283,45,3.0,7.0,0.0,5.0,0.10975,Lettuce Leaf-75 gms; Spinach-75 gms; Cabbage-62 gms; CUCUMBER-50 gms; VINEGAR-7 gms; Common salt-7 gms; Black pepper-7 gms,0.30620165901854013,0.01157376086445854,0.21195328282828285,0.01093504815597839,0.29806872207748436
